HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1)
V1,5,878,0.06673564407656493,0.2107061503416856
V2,5,2513,0.05438941164305656,0.2049343414245921
V3,5,3379,0.036771557594437676,0.1716484166913288
V4,5,3753,0.033252443103561354,0.17132960298427924
V5,5,3545,0.03684996798747955,0.13850493653032436
V6,5,3600,0.03737796373779637,0.15555555555555556
V7,5,3745,0.035509736540664374,0.0835781041388518
V8,5,3139,0.033346597692001594,0.14941064033131568
V9,5,1193,0.03208219752568673,0.2221290863369656
V12,5,1424,0.04329754069968826,0.2345505617977528
V23,5,2312,0.053317276111232756,0.23788927335640142
V34,5,3669,0.0357455992446213,0.21613518669937315
V45,5,3639,0.03524136481468507,0.1918109370706238
V56,5,3766,0.03392808867261422,0.18109399893786515
V67,5,3542,0.03815004262574595,0.1603613777526821
V78,5,3172,0.031712962962962964,0.20365699873896592
V89,5,1136,0.030983385720700495,0.31426056338028174
sequence,5,6859,0.021425141295112853,0.0896632162122758
V1,6,930,0.07052962768746722,0.23655913978494625
V2,6,2410,0.05483936975649683,0.31825726141078836
V3,6,3390,0.03507890961262554,0.19734513274336285
V4,6,3846,0.03424838326514452,0.2046281851274051
V5,6,3549,0.03557959154628905,0.1397576782192167
V6,6,3614,0.035948624877844476,0.1806862202545656
V7,6,3817,0.03581826799377073,0.08750327482315956
V8,6,3097,0.03252161497580709,0.19309008718114307
V9,6,1203,0.016179869720529524,0.2477140482128013
V12,6,1449,0.04452948338841538,0.34092477570738444
V23,6,2320,0.05336401490247644,0.34956896551724137
V34,6,3668,0.03540598867008363,0.31842966194111233
V45,6,3616,0.03602406267487409,0.2859513274336283
V56,6,3710,0.03454080258551037,0.2506738544474394
V67,6,3544,0.037444933920704845,0.24604966139954854
V78,6,3214,0.03050007741136399,0.30056004978220285
V89,6,1117,0.017437961099932932,0.4852282900626679
sequence,6,4662,0.029870403540195975,0.2983697983697984
