HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1)
V6,6,1791,0.03579885777963505,0.042434394193188174
V7,6,1844,0.03597798362196268,0.030911062906724518
V8,6,1544,0.03313253012048193,0.04792746113989632
V9,6,607,0.017270429654591406,0.03130148270181221
V12,6,729,0.0445993031358885,0.07133058984910834
V23,6,1165,0.05221588415971917,0.07038626609442056
V34,6,1849,0.034734423570752807,0.07355327203894002
V45,6,1799,0.03632807042056728,0.06559199555308504
V56,6,1907,0.03498779495524817,0.04876769795490299
V67,6,1782,0.036715525828945494,0.06341189674523007
V78,6,1518,0.03344532681734881,0.06653491436100134
V89,6,575,0.01891891891891892,0.0678260869565217
sequence,6,2111,0.03515341870016912,0.06300331596399811
