HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(5)
V7,5,3745,0.035509736540664374,0.48170894526034713
V8,5,3139,0.033346597692001594,0.6288626951258363
V9,5,1193,0.03208219752568673,0.5775356244761106
V12,5,1424,0.04329754069968826,0.7514044943820225
V23,5,2312,0.053317276111232756,0.7504325259515571
V34,5,3669,0.0357455992446213,0.6843826655764513
V45,5,3639,0.03524136481468507,0.6716130805166254
V56,5,3766,0.03392808867261422,0.6779075942644717
V67,5,3542,0.03815004262574595,0.6137775268210051
V78,5,3172,0.031712962962962964,0.6027742749054225
V89,5,1136,0.030983385720700495,0.6830985915492958
V1,6,930,0.07052962768746722,0.49139784946236564
V2,6,2410,0.05483936975649683,0.5485477178423237
V3,6,3390,0.03507890961262554,0.4212389380530973
V4,6,3846,0.03424838326514452,0.5296411856474259
V5,6,3549,0.03557959154628905,0.4990138067061144
V6,6,3614,0.035948624877844476,0.4363586054233536
V7,6,3817,0.03581826799377073,0.34739324076499867
V8,6,3097,0.03252161497580709,0.4585082337746206
V9,6,1203,0.016179869720529524,0.3383208645054031
V12,6,1449,0.04452948338841538,0.7018633540372671
V23,6,2320,0.05336401490247644,0.5387931034482758
V34,6,3668,0.03540598867008363,0.4822791712104689
V45,6,3616,0.03602406267487409,0.5539269911504425
V56,6,3710,0.03454080258551037,0.537466307277628
V67,6,3544,0.037444933920704845,0.46980812641083525
V78,6,3214,0.03050007741136399,0.45924082140634725
V89,6,1117,0.017437961099932932,0.5058191584601611
