HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(0),Random Forest - RF(1),Random Forest - RF(2),Random Forest - RF(3),Random Forest - RF(4)
V9,3,617,0.23223350253807107,0.39222042139384117,0.5040518638573743,0.6693679092382496,0.7860615883306321,0.807131280388979
V12,3,745,0.350385423966363,0.28456375838926173,0.4738255033557047,0.6577181208053691,0.8295302013422818,0.8738255033557047
V23,3,1136,0.38739917157183346,0.4295774647887324,0.5237676056338028,0.7684859154929577,0.9066901408450704,0.9242957746478874
V34,3,1795,0.27264188917214544,0.44233983286908074,0.5827298050139276,0.8345403899721449,0.9309192200557103,0.9515320334261839
V45,3,1800,0.286472889882616,0.3894444444444445,0.5449999999999999,0.8261111111111111,0.9238888888888889,0.9483333333333334
V56,3,1890,0.27817616019483155,0.3925925925925926,0.5560846560846561,0.8222222222222222,0.91005291005291,0.9328042328042327
V67,3,1755,0.293734051601928,0.3458689458689459,0.49287749287749283,0.8227920227920228,0.9173789173789174,0.9344729344729344
V78,3,1581,0.26522744795682346,0.37191650853889946,0.5294117647058824,0.7938013915243517,0.9146110056925996,0.9335863377609108
V89,3,602,0.24669402644778843,0.3504983388704319,0.4767441860465116,0.7142857142857143,0.845514950166113,0.8704318936877077
sequence,3,2082,0.26375346093655955,0.303073967339097,0.4582132564841499,0.734390009606148,0.8587896253602305,0.9193083573487032
V1,4,461,0.17425431711145997,0.23210412147505421,0.297180043383948,0.48156182212581344,0.6052060737527115,0.6550976138828634
V2,4,1232,0.1257201646090535,0.2621753246753247,0.3790584415584416,0.6290584415584415,0.8206168831168831,0.862012987012987
V3,4,1763,0.10185453491741524,0.33976176971072036,0.48099829835507657,0.7549631310266591,0.8587634713556438,0.8718094157685763
V4,4,1926,0.09677845260100343,0.23001038421599174,0.40394600207684317,0.7377985462097612,0.8764278296988577,0.90134994807892
V5,4,1742,0.10242243943901402,0.35419058553386906,0.5367393800229621,0.7657864523536165,0.8622273249138921,0.8737083811710677
V6,4,1788,0.10470620996936786,0.2936241610738255,0.4105145413870246,0.6957494407158837,0.825503355704698,0.8529082774049217
V7,4,1819,0.09753813219159754,0.31775700934579443,0.5244639912039581,0.7135788894997251,0.7839472237493128,0.793842770753161
V8,4,1568,0.09388924252068746,0.2455357142857143,0.41836734693877553,0.6964285714285714,0.84375,0.8654336734693877
V9,4,610,0.06916912695065373,0.23770491803278693,0.38524590163934425,0.6032786885245902,0.6786885245901639,0.7032786885245902
V12,4,734,0.13054101221640488,0.1607629427792916,0.31607629427792916,0.5708446866485013,0.7520435967302452,0.8024523160762943
V23,4,1161,0.13064445418676018,0.2687338501291989,0.4125753660637381,0.6830318690783808,0.8475452196382429,0.8854435831180018
V34,4,1868,0.09769647696476964,0.2676659528907923,0.4266595289079229,0.7237687366167024,0.8741970021413277,0.9089935760171306
V45,4,1794,0.10011170064227869,0.23968784838350055,0.4057971014492754,0.7107023411371238,0.8835005574136009,0.9130434782608696
V56,4,1795,0.10165642532727759,0.2484679665738162,0.43621169916434543,0.7526462395543175,0.883008356545961,0.905849582172702
V67,4,1770,0.10228725671260122,0.2508474576271187,0.36101694915254234,0.6824858757062147,0.8451977401129943,0.8734463276836159
V78,4,1573,0.08840289542584322,0.2650985378258105,0.4100445009535919,0.680864589955499,0.8575969485060394,0.8862047043865225
V89,4,548,0.07254116599910992,0.21715328467153283,0.3667883211678832,0.5948905109489051,0.7737226277372262,0.8211678832116789
sequence,4,2084,0.09524382901866346,0.1487523992322457,0.3397312859884837,0.6521113243761996,0.8109404990403071,0.8838771593090211
V1,5,505,0.0712372790573112,0.07722772277227719,0.1089108910891089,0.2277227722772277,0.3267326732673267,0.3683168316831683
V2,5,1199,0.0539546290619252,0.12010008340283573,0.1534612176814012,0.28106755629691405,0.432860717264387,0.5029190992493745
V3,5,1729,0.037197231833910036,0.1440138808559861,0.18970503181029497,0.27125506072874495,0.4389820705610179,0.4598033545401966
