HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
sequence,1,9351,0.32526647094607103,0.33547214201689657,0.38199123088439735,0.4132178376644209,0.4214522510961395,0.4058389477061277
V1,2,908,0.4859228362877998,0.49339207048458145,0.6861233480176212,0.6729074889867841,0.7588105726872247,0.9129955947136564
V2,2,2531,0.3833005283331607,0.49466613986566577,0.7230343737653102,0.8830501777953378,0.9241406558672461,0.9154484393520348
V3,2,3447,0.28805013325650075,0.45169712793733685,0.720626631853786,0.8987525384392225,0.8909196402668987,0.9193501595590369
V4,2,3841,0.2742924995052444,0.3611038791981255,0.6271804217651653,0.9013277792241604,0.9330903410570164,0.9192918510804478
V5,2,3555,0.2935146294582473,0.3583684950773558,0.6675105485232067,0.830098452883263,0.8447257383966245,0.8742616033755274
V6,2,3593,0.29358053948560675,0.3448371834121904,0.6587809629835792,0.8644586696354022,0.8196493181185639,0.8675201781241303
V7,2,3711,0.28652100840336137,0.33764483966585823,0.6076529237402317,0.6701697655618432,0.5332794395041768,0.7819994610617085
V8,2,3182,0.278789330777831,0.34726587052168445,0.650534255185418,0.8444374607165305,0.7404148334380892,0.8651791326209931
V9,2,1147,0.23447559709241952,0.37489102005231034,0.6765475152571927,0.7576285963382737,0.7462946817785527,0.8631211857018308
V12,2,1423,0.3471861471861472,0.365425158116655,0.5994378074490513,0.8460997891777934,0.9458889669711876,0.9367533380182713
V23,2,2254,0.38870757180156656,0.4991126885536823,0.7111801242236024,0.9139307897071872,0.9782608695652174,0.9600709849157054
V34,2,3829,0.28131178836844617,0.39253068686341086,0.6761556542178114,0.8944894228258031,0.9524680073126143,0.9428049098981457
V45,2,3556,0.2917943716912789,0.40382452193475815,0.6482002249718786,0.8976377952755905,0.9513498312710911,0.9496625421822272
V56,2,3664,0.2819170358437374,0.3780021834061136,0.7232532751091703,0.9088427947598253,0.9295851528384279,0.9355895196506551
V67,2,3564,0.2955030596271524,0.3737373737373737,0.638327721661055,0.8933782267115601,0.9225589225589226,0.9023569023569024
V78,2,3228,0.2671264724116553,0.40954151177199505,0.6171003717472119,0.8822800495662949,0.8937422552664188,0.9175960346964065
V89,2,1145,0.25241844769403826,0.4069868995633188,0.6768558951965066,0.8978165938864628,0.9056768558951965,0.903056768558952
sequence,2,9479,0.23759763282062218,0.21552906424728346,0.25487920666736996,0.34307416394134405,0.40816541829306885,0.4244118577909062
V1,3,913,0.4792482380579483,0.46549835706462217,0.6177437020810514,0.5848849945235488,0.8105147864184009,0.9036144578313253
V2,3,2470,0.3792464484249537,0.40364372469635623,0.6437246963562753,0.8388663967611336,0.8672064777327935,0.891497975708502
V3,3,3417,0.28369151153597355,0.38074334211296457,0.6669593210418496,0.8375768217734856,0.8577699736611062,0.8966930055604332
V4,3,3722,0.27130514465244143,0.32966147232670606,0.6093498119290703,0.8640515851692638,0.8584094572810317,0.9016657710908114
V5,3,3546,0.2896983494593056,0.3265651438240271,0.6449520586576425,0.7910321489001693,0.8116187253243091,0.8747884940778342
V6,3,3654,0.2852442951140977,0.3308702791461412,0.5952380952380952,0.8026819923371648,0.7531472359058566,0.8527640941434045
V7,3,3705,0.2804919024259122,0.24588394062078267,0.5368421052631579,0.5740890688259109,0.5743589743589743,0.8256410256410256
V8,3,3160,0.2671396683673469,0.30284810126582273,0.6075949367088608,0.8136075949367089,0.7768987341772152,0.8367088607594937
V9,3,1200,0.2255354892902142,0.2975,0.64,0.6599999999999999,0.7116666666666667,0.8416666666666667
V12,3,1425,0.3473064264680409,0.33122807017543865,0.5866666666666667,0.8554385964912281,0.9052631578947369,0.9045614035087719
V23,3,2245,0.3848494728833822,0.4311804008908686,0.6721603563474388,0.8939866369710467,0.9349665924276169,0.9224944320712695
V34,3,3662,0.2730888499393286,0.3689240851993446,0.6521026761332605,0.8817586018569088,0.937192790824686,0.9167121791370836
V45,3,3654,0.2837003787347454,0.367816091954023,0.6313628899835797,0.8804050355774493,0.9304871373836892,0.9293924466338259
V56,3,3755,0.27817923954886203,0.34434087882822906,0.6559254327563249,0.8716378162450067,0.9019973368841545,0.8958721704394141
V67,3,3580,0.2904259866077789,0.3307262569832402,0.6039106145251396,0.8720670391061452,0.8918994413407821,0.8807262569832403
V78,3,3335,0.2620145346565601,0.34152923538230884,0.5775112443778111,0.864767616191904,0.8833583208395802,0.8974512743628186
V89,3,1128,0.2429403854773644,0.3377659574468085,0.6391843971631206,0.8528368794326241,0.8785460992907801,0.9024822695035462
sequence,3,9168,0.2366507828454731,0.2066972076788831,0.23592931937172779,0.32755235602094246,0.3799083769633508,0.3972513089005235
V1,4,912,0.1693632567849687,0.23793859649122806,0.4682017543859649,0.4627192982456141,0.6074561403508771,0.7697368421052632
V2,4,2476,0.1295838483724763,0.2613085621970921,0.5884491114701131,0.8218901453957996,0.8647011308562197,0.8598546042003231
V3,4,3495,0.10495121069750632,0.24606580829756797,0.628612303290415,0.8420600858369098,0.8108726752503577,0.8778254649499284
V4,4,3763,0.0966725733412089,0.20515546106829652,0.5684294445920808,0.854637257507308,0.8612808929045974,0.8618123837363806
V5,4,3596,0.10152791660716835,0.19938820912124577,0.6129032258064516,0.7513904338153504,0.7452725250278087,0.8412124582869855
V6,4,3534,0.10134666111342497,0.21052631578947367,0.5401810979060555,0.767402376910017,0.7314657611771365,0.8395585738539898
V7,4,3650,0.09728173540439207,0.16000000000000003,0.5320547945205479,0.561917808219178,0.6504109589041096,0.8076712328767124
V8,4,3139,0.09176283326701154,0.1889136667728576,0.5820324944249762,0.7977062758840395,0.810767760433259,0.8579165339280026
V9,4,1159,0.06620861961274203,0.16393442622950816,0.5884383088869716,0.6488352027610009,0.7610008628127696,0.8403796376186368
V12,4,1482,0.13296011196641008,0.20242914979757087,0.5492577597840755,0.8178137651821862,0.8717948717948718,0.8441295546558705
V23,4,2305,0.1284323378186194,0.2837310195227766,0.6295010845986985,0.8789587852494577,0.911062906724512,0.8702819956616052
V34,4,3736,0.09905149051490515,0.24732334047109206,0.6153640256959314,0.8776766595289079,0.9103319057815846,0.8819593147751605
V45,4,3631,0.10097332119599468,0.23712475901955388,0.6023134122831175,0.8661525750481961,0.8958964472597081,0.8746901679977968
V56,4,3693,0.09798910484901473,0.2109396154887625,0.6433793663688059,0.8689412401841321,0.875981586785811,0.859734633089629
V67,4,3444,0.10491039932270355,0.20963995354239262,0.5316492450638792,0.8368176538908246,0.8658536585365854,0.8745644599303136
V78,4,3212,0.09117647058823529,0.22447073474470736,0.6042963885429639,0.863013698630137,0.8757783312577834,0.8947696139476962
V89,4,1088,0.07507774322523322,0.23253676470588236,0.6470588235294117,0.8704044117647058,0.8547794117647058,0.8639705882352942
sequence,4,8425,0.07323734599970314,0.0823738872403561,0.17341246290801182,0.33899109792284865,0.4324035608308605,0.4519881305637983
V1,5,878,0.06673564407656493,0.2107061503416856,0.48405466970387245,0.5615034168564921,0.6640091116173121,0.7927107061503417
V2,5,2513,0.05438941164305656,0.2049343414245921,0.5789892558694787,0.7946677278153601,0.8066056506167927,0.8249104655789893
V3,5,3379,0.036771557594437676,0.1716484166913288,0.5963302752293578,0.7555489789878662,0.7641313998224326,0.8129624149156556
V4,5,3753,0.033252443103561354,0.17132960298427924,0.6357580602184918,0.841726618705036,0.8470556887823075,0.8614441779909405
V5,5,3545,0.03684996798747955,0.13850493653032436,0.5918194640338506,0.7317348377997179,0.7667136812411848,0.8256699576868829
