HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
V9,3,617,0.23223350253807107,0.22204213938411665,0.5542949756888169,0.43598055105348466,0.486223662884927,0.47974068071312803
V12,3,745,0.350385423966363,0.3194630872483222,0.5140939597315437,0.738255033557047,0.7302013422818792,0.5261744966442953
V23,3,1136,0.38739917157183346,0.3970070422535211,0.6109154929577465,0.8230633802816901,0.8248239436619719,0.6144366197183099
V34,3,1795,0.27264188917214544,0.3626740947075209,0.6389972144846796,0.8534818941504179,0.8623955431754875,0.667966573816156
V45,3,1800,0.286472889882616,0.36,0.6111111111111112,0.8466666666666667,0.8433333333333333,0.6694444444444445
V56,3,1890,0.27817616019483155,0.35079365079365077,0.6476190476190475,0.8269841269841269,0.7761904761904762,0.5952380952380952
V67,3,1755,0.293734051601928,0.30997150997151,0.5544159544159544,0.8068376068376069,0.750997150997151,0.5789173789173789
V78,3,1581,0.26522744795682346,0.32764073371283997,0.5464895635673624,0.8134092346616066,0.7432005060088551,0.6160657811511702
V89,3,602,0.24669402644778843,0.292358803986711,0.5598006644518272,0.7275747508305648,0.627906976744186,0.45514950166112955
sequence,3,2082,0.26375346093655955,0.3045148895292987,0.5268972142170989,0.7684918347742555,0.8876080691642652,0.8102785782901056
V1,4,461,0.17425431711145997,0.18872017353579174,0.3492407809110629,0.24511930585683295,0.2711496746203904,0.2776572668112798
V2,4,1232,0.1257201646090535,0.22889610389610393,0.49756493506493504,0.726461038961039,0.577922077922078,0.3474025974025974
V3,4,1763,0.10185453491741524,0.2393647192285876,0.5422575155984117,0.7220646625070901,0.5796937039137833,0.5751559841179807
V4,4,1926,0.09677845260100343,0.2004153686396677,0.5171339563862929,0.7564901349948079,0.6344755970924195,0.40965732087227413
V5,4,1742,0.10242243943901402,0.18656716417910446,0.5683122847301951,0.6756601607347876,0.5717566016073479,0.5855338691159586
V6,4,1788,0.10470620996936786,0.17170022371364657,0.4832214765100671,0.639261744966443,0.4848993288590604,0.4071588366890381
V7,4,1819,0.09753813219159754,0.159978009895547,0.47828477185266627,0.48653106102253985,0.44529961517317207,0.5876855415063221
