HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(5)
V8,6,1615,0.03270803270803271,0.28668730650154794
V9,6,611,0.015611814345991562,0.14729950900163669
V12,6,719,0.043402777777777776,0.32962447844228093
V23,6,1129,0.052242054854157595,0.3312666076173605
V34,6,1873,0.03552542372881356,0.33101975440469833
V45,6,1775,0.0362066564545328,0.35661971830985917
V56,6,1871,0.03427800269905533,0.3270978086584714
V67,6,1763,0.037042293499858076,0.3318207600680658
V78,6,1635,0.03218784014927694,0.2764525993883792
V89,6,574,0.01891040072039622,0.2142857142857143
sequence,6,2114,0.03492447129909366,0.2880794701986755
