HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
V7,2,1013,0.3129234629861982,0.4442250740375123,0.7097729516288253,0.8519249753208292,0.6594274432379073,0.7897334649555775
V8,2,696,0.17193469954845433,0.3390804597701149,0.6163793103448276,0.8347701149425287,0.7456896551724138,0.6422413793103448
V2,3,1190,0.3787164240311667,0.42268907563025215,0.6260504201680672,0.7915966386554621,0.7722689075630252,0.5739495798319327
V3,3,1672,0.2869477622679522,0.3708133971291866,0.6327751196172249,0.7960526315789473,0.7027511961722488,0.6190191387559809
V4,3,1911,0.2687395174816153,0.30350601779173203,0.5552066980638409,0.7791732077446363,0.6572475143903715,0.5536368393511251
V5,3,1551,0.31497692185261816,0.379110251450677,0.6363636363636364,0.7453255963894262,0.7021276595744681,0.6756931012250161
V6,3,28,0.5833333333333334,0.5714285714285714,0.6785714285714286,0.5357142857142857,0.7857142857142857,0.8571428571428572
V7,3,933,0.3023370233702337,0.34083601286173637,0.6420150053590568,0.8092175777063237,0.652733118971061,0.7213290460878885
V8,3,749,0.07466383581033263,0.18825100133511352,0.4993324432576769,0.7623497997329773,0.5767690253671562,0.5527369826435247
V2,4,1235,0.12665562913907286,0.23805668016194337,0.5093117408906882,0.7133603238866397,0.6299595141700405,0.37489878542510124
V3,4,1716,0.10267921795800145,0.22027972027972031,0.5623543123543124,0.7272727272727273,0.5716783216783217,0.5641025641025641
V4,4,1913,0.09639953542392567,0.18714061683220073,0.5013068478829064,0.7297438578149503,0.592263460533194,0.46314688970203866
V5,4,1525,0.11459819305753685,0.22491803278688527,0.5501639344262295,0.6222950819672131,0.5534426229508197,0.5822950819672131
V6,4,24,0.5645161290322581,0.375,0.625,0.41666666666666663,0.625,0.6666666666666667
V7,4,997,0.1422144463884029,0.1664994984954865,0.5506519558676028,0.6188565697091274,0.5095285857572718,0.6489468405215647
V8,4,713,0.03494060097833683,0.14446002805049085,0.4516129032258065,0.6423562412342216,0.4642356241234221,0.5245441795231416
V2,5,1135,0.054339010543390104,0.11189427312775335,0.31894273127753303,0.42907488986784137,0.3004405286343612,0.1674008810572687
V3,5,1730,0.03729502249310695,0.08959537572254339,0.3872832369942196,0.44682080924855494,0.31156069364161854,0.41676300578034686
V4,5,1953,0.03437540537034635,0.08192524321556582,0.36610343061955963,0.49411162314388124,0.3451100870455709,0.27291346646185355
V5,5,1635,0.042103565091143734,0.0899082568807339,0.3749235474006116,0.4250764525993884,0.3516819571865444,0.48440366972477067
V6,5,30,0.1016949152542373,0.1333333333333333,0.23333333333333328,0.23333333333333328,0.30000000000000004,0.30000000000000004
V7,5,984,0.037120079720976584,0.06402439024390238,0.3719512195121951,0.34959349593495936,0.3404471544715447,0.46036585365853655
V8,5,710,0.014659685863874346,0.09014084507042253,0.29154929577464783,0.352112676056338,0.19436619718309855,0.4211267605633803
V2,6,1222,0.05345717234262126,0.07855973813420625,0.20458265139116205,0.2692307692307693,0.18085106382978722,0.13011456628477902
V3,6,1717,0.03635573580533024,0.06057076295864883,0.2294700058241118,0.2813046010483401,0.21199767035527084,0.2533488642981945
V4,6,1932,0.033764553686934026,0.05124223602484468,0.24430641821946175,0.3307453416149069,0.22360248447204967,0.16925465838509313
V5,6,1560,0.04144086707044947,0.0525641025641026,0.2564102564102564,0.27692307692307694,0.2185897435897436,0.30833333333333335
V6,6,27,0.024793388429752067,0.0,0.0,0.0,0.0,0.0
V7,6,1052,0.03725291434363913,0.03612167300380231,0.19106463878326996,0.21292775665399244,0.17015209125475284,0.2756653992395437
V8,6,732,0.012310939148786493,0.03415300546448086,0.13251366120218577,0.1898907103825137,0.11338797814207646,0.21584699453551914
