HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB()
V7,6,1803,0.035914552736982644,0.19356627842484753
V8,6,1615,0.03270803270803271,0.18513931888544888
V9,6,611,0.015611814345991562,0.1211129296235679
V12,6,719,0.043402777777777776,0.17107093184979139
V23,6,1129,0.052242054854157595,0.20814880425155002
V34,6,1873,0.03552542372881356,0.24399359316604374
V45,6,1775,0.0362066564545328,0.24225352112676057
V56,6,1871,0.03427800269905533,0.222340994120791
V67,6,1763,0.037042293499858076,0.21837776517300056
V78,6,1635,0.03218784014927694,0.19571865443425074
V89,6,574,0.01891040072039622,0.12020905923344949
sequence,6,2114,0.03492447129909366,0.20624408703878905
